"Entity_Name","Address","Floor","Borough","State","Zip","AED_NumPersonTrained","AED_NumAeds","Latitude","Longitude","Community_District","Council_District","Census_Tract_2010","NTA_Code","BBL","BIN","Location Point","Location Type","Last Updated"
"P.S. 013 M. L. Lindemeyer","191 Vermont Avenue","MAIN ENTRANCE","Staten Island","New York","10305","12","1","40.61320843","-74.0698884","501","49","800","SI37","5028520001","5042776","POINT (-74.0698884 40.61320843)","Public Schools",
"OGDEN CAP PROPERTIES","155 EAST 31 STREET","LOBBY AND GYM","Manhattan","New York","10016","10","2","40.74424994","-73.98051214","106","2","7200","MN20","1008870030","1078756","POINT (-73.98051214 40.74424994)","Businesses & Commercial Spaces",
"Harlem Village Academy West Middle School","244 West 144 Street","btwn stair B and C","Manhattan","New York","10030","0","1","40.82141871","-73.94067347","110","9","23200","MN03","1020290011","1060432","POINT (-73.94067347 40.82141871)","School",
"Eden II Schools","400 VICTORY BOULEVARD","N/A","Staten Island","New York","10301","1","1","40.6326574","-74.0867844","501","49","3300","SI08","5005790001","5014814","POINT (-74.0867844 40.6326574)","School",
"Walt Disney/ABC, Inc.","77 WEST 66 STREET","Stair Y-B Floor","Manhattan","New York","10023","180","1","40.77324011","-73.98069136","107","6","15300","MN14","1011190008","1082810","POINT (-73.98069136 40.77324011)","Businesses & Commercial Spaces",
"Jacob K. Javits Convention Center","655 WEST 34 STREET","Level 2 Offices","Manhattan","New York","10001","75","1","40.75655629","-74.00380806","104","3","9900","MN13","1006800001","1067973","POINT (-74.00380806 40.75655629)","Performance Venues",
"SoulCycle, Inc","55 COURT STREET","Ground Floor","Brooklyn","New York","11201","12","2","40.69220222","-73.99112915","302","33","900","BK09","3002667501","3002558","POINT (-73.99112915 40.69220222)","Health Clubs & Gyms",
"Ferguson Northeast Location 2623","57-22 49 STREET","-","Manhattan","New York","11378","5","1","40.72451353","-73.91998641","402","26","21900","QN31","4026020200","4058973","POINT (-73.91998641 40.72451353)","Businesses & Commercial Spaces",
"Mott Hall Charter School","1260 Franklin Avenue","Mini Building","Bronx","New York","10456","0","1","40.83095828","-73.90273673","203","17","14900","BX35","2026150014","2004302","POINT (-73.90273673 40.83095828)","School",
"Morgan Stanley - 1585 Broadway","1585 Broadway","FL 01","Manhattan","New York","10036","6","3","40.76020869","-73.98533366","105","3","12500","MN17","1010197502","1076193","POINT (-73.98533366 40.76020869)","Businesses & Commercial Spaces","07/29/2024"
"P.S. 161 Pedro Albizu Campos","499 West 133 Street","Main Entrance","Manhattan","New York","10027","14","1","40.81754337","-73.95304013","109","7","21303","MN06","1019710001","1059645","POINT (-73.95304013 40.81754337)","Public Schools",
"Equinox","1413 FULTON STREET","-","Brooklyn","New York","11216","2","1","40.68013421","-73.94477999","303","36","26900","BK75","3018540052","3053469","POINT (-73.94477999 40.68013421)","Health Clubs & Gyms",
"Newmark","9 Metrotech Center","-","Brooklyn","New York","11201","8","2","40.69485298449","-73.98467373706","302","33","1500","BK38","3020470011","3058187","POINT (-73.984673737064 40.694852984489)","Businesses & Commercial Spaces","01/06/2025"
"East Brooklyn Ascend Lower School","260 Shepherd Avenue","across from rm 210","Brooklyn","New York","11208","8","1","40.67804719","-73.88179767","305","37","116800","BK82","3039720012","3327122","POINT (-73.88179767 40.67804719)","School",
"Coney Island Preparatory Public Charter School High School","294 Avenue T","Main Entrance","Brooklyn","New York","11223","13","1","40.59914886","-73.97428533","311","44","40000","BK29","3071020001","3191355","POINT (-73.97428533 40.59914886)","School",
"Queens High School of Teaching, Liberal Arts and the Sciences","74-20 Common Wealth Boulevard","Outside Room 318","Queens","New York","11426","19","1","40.74607997","-73.72753367","413","23","156700","QN43","4078700072","4529899","POINT (-73.72753367 40.74607997)","School",
"P077K Main Site (K902)","62 Park Place","Main Entrance","Brooklyn","New York","11217","11","1","40.67897583","-73.97649693","306","39","12902","BK37","3009410050","3259250","POINT (-73.97649693 40.67897583)","Public Schools",
"Humanities Preparatory Academy","351 West 18 Street","Outside Room 528","Manhattan","New York","10011","1","1","40.74285998","-74.0021364","104","3","8900","MN13","1007420007","1013096","POINT (-74.0021364 40.74285998)","School",
"P.S. 182 Samantha Smith","153-27 88th Avenue","Basement Cafe","Queens","New York","11432","0","1","40.70642219","-73.80344324","412","27","23600","QN35","4097630023","4594831","POINT (-73.80344324 40.70642219)","Public Schools",
"Walt Disney/ABC, Inc.","47 WEST 66 STREET","Stair Y-Floor Lobby","Manhattan","New York","10023","180","1","40.77298749","-73.98008127","107","6","15300","MN14","1011190021","1081016","POINT (-73.98008127 40.77298749)","Businesses & Commercial Spaces",
